Microsoft,Microsoft seeks 'exceptions' to Trump immigration ban,"The announcement came just hours after Trump sacked acting Attorney General Sally Yates. Video provided by Newsy Newslook Microsoft, one of the tech companies that has expressed opposition to President Trump’s executive order on immigration, is asking ...","http://www.bing.com/cr?IG=8D9CD9C9E6344BD38B7E8B06B4CB2D96&CID=1E4839183BE465342B2C33073AD56450&rd=1&h=MD7uLvaY0MobMetoVPJxPlB-pmkd-UBigqKIuEAx2Fk&v=1&r=http%3a%2f%2fwww.usatoday.com%2fstory%2ftech%2f2017%2f02%2f02%2fmicrosoft-seeks-exceptions-trump-immigration-ban%2f97407102%2f&p=DevEx,5019.1"
Microsoft,Microsoft Immigration Ban Exceptions Program Proposal Sent to DC,"Microsoft, seeking to create a program of immigration ban exceptions, on Thursday sent a proposal to Washington in an effort to help employees impacted by President Donald Trump's temporary travel ban on travelers coming into the United States from certain ...","http://www.bing.com/cr?IG=8D9CD9C9E6344BD38B7E8B06B4CB2D96&CID=1E4839183BE465342B2C33073AD56450&rd=1&h=zIAasBLvVPkjMIaZXytwI-nuw04Md67zT1PhtnnI8ks&v=1&r=http%3a%2f%2fwww.newsmax.com%2fTheWire%2fmicrosoft-immigration-ban-exceptions%2f2017%2f02%2f02%2fid%2f771717%2f&p=DevEx,5021.1"
Microsoft,"Microsoft seeks exemption for workers, students from travel ban","As it pursues a legal battle against President Donald Trump's temporary immigration ban, Microsoft has made a formal plea to the US administration seeking an exemption for students and workers from the order. In his recent executive order, Trump has ...","http://www.bing.com/cr?IG=8D9CD9C9E6344BD38B7E8B06B4CB2D96&CID=1E4839183BE465342B2C33073AD56450&rd=1&h=uvVHKsDVDAguAJC5_Fb91V_pqflN69cCU_zgCSXtw3A&v=1&r=http%3a%2f%2fin.pcmag.com%2fmicrosoft%2f112300%2fnews%2fmicrosoft-seeks-exemption-for-workers-students-from-travel-b&p=DevEx,5023.1"
Microsoft,No Game Over: Game Developers Protest Trump's Immigration Ban,"Game developers are up in arms to protest U.S. President's Donald Trump's immigration ban on certain ... Facebook, and Microsoft and the rest of the tech industry have denounced the so-called ""Muslim ban."" Video game developers have also released ...","http://www.bing.com/cr?IG=8D9CD9C9E6344BD38B7E8B06B4CB2D96&CID=1E4839183BE465342B2C33073AD56450&rd=1&h=wgzDwxRkElWgH09XITAENW9000lQ0NNd7CO4K5LLglc&v=1&r=http%3a%2f%2fwww.techtimes.com%2farticles%2f195340%2f20170204%2fno-game-over-game-developers-protest-trumps-immigration-ban.htm&p=DevEx,5025.1"
Microsoft,"Trump immigration ban: Microsoft’s exemption plan, Facebook to be hit by H1-B","Silicon Valley majors like Apple, Microsoft, Google, Facebook, Twitter Uber are resisting President Trump’s executive order on immigration, which has banned the entry of nationals from seven Muslim-majority countries, including those people who have ...","http://www.bing.com/cr?IG=8D9CD9C9E6344BD38B7E8B06B4CB2D96&CID=1E4839183BE465342B2C33073AD56450&rd=1&h=VUMj8x9HgbAFck0TQqkYXngNB_C1UK4G-9FfTtXxQXQ&v=1&r=http%3a%2f%2findianexpress.com%2farticle%2ftechnology%2ftech-news-technology%2ftrump-immigration-ban-microsofts-exemption-plan-facebook-to-be-hit-by-h1-b-4505514%2f&p=DevEx,5027.1"
Twitter,Trump blasts 'so-called judge' who temporarily blocked immigration ban in Saturday tweetstorm,"he tweeted. US District Judge James Robart, a Seattle federal judge and George W. Bush appointee, granted a nationwide temporary restraining order on the immigration ban Friday night. Robart's ruling, contrary to the claims in Trump's tweets ...","http://www.bing.com/cr?IG=8DB13322A53549679F00E5FAD2EA1E3D&CID=315145D8D7E668A400CF4FC7D6D76937&rd=1&h=CiP8syoc-z04ehRDBpbLs5rLSLU4IKAteCJuRrCj6Io&v=1&r=http%3a%2f%2fwww.businessinsider.com%2ftrump-judge-immigration-ban-block-twitter-2017-2&p=DevEx,5019.1"
Twitter,"Trump tweets on ""so-called judge"" after travel ban stay","President Trump launched an early morning Twitter offensive against a federal judge Saturday after U.S. District Judge James Robart in Seattle declared a nationwide stay on Mr. Trump’s travel ban. The president defended his immigration order, which ...","http://www.bing.com/cr?IG=8DB13322A53549679F00E5FAD2EA1E3D&CID=315145D8D7E668A400CF4FC7D6D76937&rd=1&h=A8tjRnJveVUy5nXXU71tfl0qnIArj15S2AtPXeK5r8k&v=1&r=http%3a%2f%2fwww.cbsnews.com%2fnews%2ftrump-tweets-on-so-called-judge-after-travel-ban-stay%2f&p=DevEx,5021.1"
Twitter,Trump's Twitter criticism of judge shows limits of staff's influence,"Late Friday night, some of President Donald Trump's top advisers huddled on the phone to craft a response to a court ruling that blocked the White House's refugee and immigration ban. The White ... Trump lashed out on Twitter at the ""so-called judge ...","http://www.bing.com/cr?IG=8DB13322A53549679F00E5FAD2EA1E3D&CID=315145D8D7E668A400CF4FC7D6D76937&rd=1&h=LQtKkJHMqUdUCPWx5Mu0XJhbOIInBEaM5LMoTKBwe0o&v=1&r=http%3a%2f%2fwww.chicagotribune.com%2fnews%2fnationworld%2fct-judge-james-robart-trump-20170204-story.html&p=DevEx,5023.1"
Twitter,Donald Trump Claims ‘Certain Middle-Eastern Countries’ Agree With Muslim Ban,"Donald Trump went on a Twitter tirade on Saturday ... Yemeni bodega owners in New York City went on a city-wide strike in protest of the immigration ban. On Wednesday, February 1, Trump’s longtime pal Howard Stern said on his SiriusXM radio show that ...","http://www.bing.com/cr?IG=8DB13322A53549679F00E5FAD2EA1E3D&CID=315145D8D7E668A400CF4FC7D6D76937&rd=1&h=EElqjpFYJNhmUJM5RYBluVgRdJ3H-OCtRpXtWTOObH0&v=1&r=http%3a%2f%2fwww.usmagazine.com%2fcelebrity-news%2fnews%2fdonald-trump-certain-middle-eastern-countries-agree-with-muslim-ban-w465013&p=DevEx,5025.1"
Twitter,Trump's itchy Twitter finger aims at 'so-called' federal judge,"US President Donald Trump's Twitter account exists for him to express displeasure at anyone who crosses him. On Friday, a federal judge in Seattle temporarily blocked Trump's executive order that, among other things, prevented immigration to the States ...","https://www.bing.com/cr?IG=8DB13322A53549679F00E5FAD2EA1E3D&CID=315145D8D7E668A400CF4FC7D6D76937&rd=1&h=aceiQoexo1RnO7Jxwspd4po3EaSCI2-iLtNuizc3GoE&v=1&r=https%3a%2f%2fwww.cnet.com%2fnews%2fdonald-trump-so-called-judge-twitter-immigration-order-ban-james-robart%2f&p=DevEx,5027.1"
F.N.B. Corp.,Microsoft Demands Trump Change Immigration Ban,"Trump got a request from Microsoft Corporation (NASDAQ:MSFT) this week. The American software giant has asked the presidency to exempt workers of American businesses from the recently implemented immigration ban. In an open letter, the company’s Brad ...","http://www.bing.com/cr?IG=E24A9C79A7F840C1842EF44A8EEDABA1&CID=3D91D1F48E35693823EEDBEB8F0468C8&rd=1&h=RaClMUrHQVdZ17HCginqAn47L7z88z8p4deG4FAqUM0&v=1&r=http%3a%2f%2flearnbonds.com%2f133189%2fmicrosoft-trump-changes-immigration-ban%2f&p=DevEx,5019.1"
F.N.B. Corp.,Trump's immigration ban has been blocked nationwide by a Seattle judge,"""They're essentially reading this as a Muslim ban, because that's what they want to see but ... included economic consequences for employers based there, including Microsoft Corp, Starbucks Corp and Amazon.com Inc, Expedia Inc, based in Bellevue ...","http://www.bing.com/cr?IG=E24A9C79A7F840C1842EF44A8EEDABA1&CID=3D91D1F48E35693823EEDBEB8F0468C8&rd=1&h=ruSXms5xBnmAabEPDaJXJK_ad0j8NLzOcWwjp7IG1GQ&v=1&r=http%3a%2f%2fhypelee.com%2f2017%2f02%2ftrumps-immigration-ban-has-been-blocked-nationwide-by-a%2f&p=DevEx,5021.1"
F.N.B. Corp.,Judges across USA to weigh challenges to Trump immigration ban,Donald Trump has pledged to overturn a U.S. judge's ruling that his travel ban on refugees is unconstitutional. Mr Trump's January 27 executive order banned all immigration from Syria ... of -38.11 percent. B2Gold Corp. (NYSE:BTG) [ Trend Analysis ...,"http://www.bing.com/cr?IG=E24A9C79A7F840C1842EF44A8EEDABA1&CID=3D91D1F48E35693823EEDBEB8F0468C8&rd=1&h=mIF6-lGuAS4NfNxcusSsuukN67PAmlJYB5j8Cn4wyHY&v=1&r=http%3a%2f%2fekosvoice.com%2f2017%2f02%2f04%2fjudges-across-usa-to-weigh-challenges-to-trump-immigration.html&p=DevEx,5023.1"
F.N.B. Corp.,Uber boss departs Trump council after immigration ban uproar,"Let's hear it for Starbucks! As Donald Trump's immigration ban continues to make headlines, the coffee corporation has decided to take a stand against the...","http://www.bing.com/cr?IG=E24A9C79A7F840C1842EF44A8EEDABA1&CID=3D91D1F48E35693823EEDBEB8F0468C8&rd=1&h=auIKQ0Ou7rHVB2HJTxFvgku7lI8glq15XrLfgjSWq70&v=1&r=http%3a%2f%2fwww.onenewspage.com%2fn%2fBusiness%2f75e3pbz67%2fUber-boss-departs-Trump-council-after-immigration-ban.htm&p=DevEx,5025.1"
F.N.B. Corp.,CEOs oppose Trump immigration ban,"NEW YORK — CEOs of some of the world’s biggest companies are fighting back against President Donald Trump’s temporary immigration ban, calling it un-American ... to seek alternatives to cabs. Starbucks Corp. said it will hire 10,000 refugees over ...","http://www.bing.com/cr?IG=E24A9C79A7F840C1842EF44A8EEDABA1&CID=3D91D1F48E35693823EEDBEB8F0468C8&rd=1&h=SC39OSx--V-2rFImieVK13VJ3LGcw1CKpPK37DCYUBA&v=1&r=http%3a%2f%2fwww.yorkdispatch.com%2fstory%2fmoney%2fbusiness%2f2017%2f01%2f31%2fceos-oppose-trump-immigration-ban%2f97273512%2f&p=DevEx,5027.1"
Legg Mason,Less than 60000 visas denied due to Trump travel ban - State Dept,"All of this comes at a time when NY tech leaders have banded together to oppose Trump's immigration ban. Uber CEO Travis Kalanick has left Donald Trump's business advisory board following widespread boycotts. Legg Mason, Inc. (NYSE:LM) Earnings Watch List ...","http://www.bing.com/cr?IG=B01BF4FC83DE49AA8D6102448B67D772&CID=1DC9CF2E4AC8693C3706C5314BF968D3&rd=1&h=yAKkctuKlDx7gUBDQidra7eJFLFDAgQ6hAUb6qbHapo&v=1&r=http%3a%2f%2fmundoaguaysaneamiento.net%2f2017%2f02%2f04%2fless-than-60000-visas-denied-due-to-trump-travel-ban-state%2f&p=DevEx,5019.1"
